Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,3.946397769014956e-2,3.7624583325889915e-2,4.458555358451471e-2,5.8937411406756e-3,2.302415610924374e-3,1.0223467699948833e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,4.201142317215872e-2,3.963498183432477e-2,5.1101933539173604e-2,8.068438265656805e-3,1.185028788039882e-3,1.5015258505819758e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,4.537916698585369e-2,4.292320680978266e-2,5.442242958865102e-2,8.151062735738178e-3,1.626554327917802e-3,1.5332549092218376e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,4.1697072822287636e-2,3.9413314200664636e-2,5.468547691477606e-2,7.961914884812281e-3,1.3907367006029472e-3,1.5002209484696386e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,3.139867134337794e-2,2.94380530451787e-2,3.660330147542937e-2,6.126288884391128e-3,2.3017463761359916e-3,1.1011854526136849e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,1.2176166157439139e-2,1.1589566723456662e-2,1.351348334180106e-2,2.156156038247405e-3,1.165340003614862e-3,3.958871333326127e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,1.2536694522944185e-2,1.1889167483747614e-2,1.3938741574052291e-2,2.2390227192238105e-3,1.2344885229754426e-3,3.8729417556546473e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,1.2374028356549478e-2,1.1762674089975727e-2,1.374394194411381e-2,2.247965311137209e-3,1.0934124339881755e-3,4.005925496062871e-3
check/super-slow,9.924688395650971e-3,9.76414274477638e-3,1.0256253477610796e-2,6.195386498198599e-4,5.7738061793328804e-5,1.0517041692385712e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
check/all,1.2288427846444152e-2,1.1697160308944514e-2,1.3592482891242241e-2,2.2113013046698897e-3,1.1922949214676927e-3,3.9311397245571245e-3
check/slow,9.806722112403689e-2,8.970509844821786e-2,0.10283061822527512,1.0822984729181358e-2,4.391192717062801e-3,1.8091917993927543e-2
