Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
print/printDim,6.537973447273666e-6,6.409306905888781e-6,6.715293109556025e-6,5.228693064039731e-7,4.0621535706335334e-7,6.800049799729575e-7
print/print fix,2.0169598422827097e-8,1.9741710253670253e-8,2.084732975184178e-8,1.7739490575004982e-9,1.3644716626268383e-9,2.3956234715634007e-9
print/print f,1.3936651155093604e-7,1.372862130253308e-7,1.4194548580573043e-7,7.70049336825217e-9,6.093330189426914e-9,1.0732020879445551e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
print/printDim,6.477706724396399e-6,6.342932998852268e-6,6.674247790127483e-6,5.143053665735633e-7,3.9949820147343306e-7,6.831266573155741e-7
print/print fix,2.0210018104271267e-8,1.9746541772981284e-8,2.081704772043118e-8,1.6229786647759448e-9,1.2692574916700779e-9,2.0691526186666445e-9
print/print f,1.49996299570511e-7,1.454120707445546e-7,1.5489776460426124e-7,1.6113985427920863e-8,1.3671664955751807e-8,1.928943376747538e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
print/printDim,2.7507884611963756e-6,2.7064609159826904e-6,2.8067038362612687e-6,1.7229361722976037e-7,1.3413047421360476e-7,2.1254311817082916e-7
print/print fix,9.925860092100709e-9,9.78956163397126e-9,1.0075105886315691e-8,4.5912091055488887e-10,3.748218217333069e-10,5.762322871485724e-10
print/print f,1.4433966419058885e-7,1.4218253542778375e-7,1.470515520633796e-7,8.181157689174713e-9,6.084624367912155e-9,1.1738550282018747e-8
